_id,latLng,name,city,state,country,updatedAt
TQAb0Rcqdm,"40.44578699,-82.354277",Apple Valley Golf Course,Howard,Ohio,US,2024-02-11T05:00:00.000Z
OblGUUnHDC,"44.7505889,-93.2412885",Apple Valley Golf Course,Apple Valley,Minnesota,US,2024-02-11T05:00:00.000Z
N5u80PporY,"41.3783107,-75.8503791",AppleWood Golf Course,Harding,Pennsylvania,US,2024-02-11T05:00:00.000Z
veP2MiRuXl,"40.0000784,-75.5277102",Applebrook Golf Club,Malvern,Pennsylvania,US,2024-02-11T05:00:00.000Z
lir7L1t7JC,"40.0265388,-75.7782668",Applecross Country Club,Downingtown,Pennsylvania,US,2024-02-11T05:00:00.000Z
RZGxEkwct7,"39.10362509,-78.207848",Appleland Sports Center,Stephens City,Virginia,US,2024-02-11T05:00:00.000Z
HPnKKDeGXV,"39.762474,-105.157043",Applewood Golf Course,Golden,Colorado,US,2024-02-11T05:00:00.000Z
w390YuT5EQ,"33.1959152,-82.0773239",Applewood Golf Course,Keysville,Georgia,US,2024-02-11T05:00:00.000Z
rqGQ3EnWjN,"45.0373878,-92.8688507",Applewood Hills Public Golf,Stillwater,Minnesota,US,2024-02-11T05:00:00.000Z
SQgiIFtuL1,"30.3719638,-95.6105697",April Sound Country Club,Montgomery,Texas,US,2024-02-11T05:00:00.000Z
GDvVXF1UmM,"41.4961587,-82.0645396",Aqua Marine Boulevard,Avon Lake,Ohio,US,2024-02-11T05:00:00.000Z
IbFoAMDH3x,"27.922791,-80.4845824",Aquarina Golf Club,Melbourne Beach,Florida,US,2024-02-11T05:00:00.000Z
GrrucpFQGQ,"42.2300135,-84.4831222",Arbor Hills Golf Club,Jackson,Michigan,US,2024-02-11T05:00:00.000Z
KFJkANOF1U,"44.8199794,-93.0410582",Arbor Pointe Golf Club,Inver Grove Heights,Minnesota,US,2024-02-11T05:00:00.000Z
RYvmJ43qgq,"33.4651651,-84.7003438",Arbor Springs Golf And Resort,Newnan,Georgia,US,2024-02-11T05:00:00.000Z
ztjP05L23f,"40.63207999,-85.6277236",Arbor Trace Golf Club,Marion,Indiana,US,2024-02-11T05:00:00.000Z
At3OD1tcCQ,"40.6813583,-95.8931427",ArborLinks,Nebraska City,Nebraska,US,2024-02-11T05:00:00.000Z
yS77UjTapB,"44.456655,-86.24252",Arcadia Bluffs Golf Club,Arcadia,Michigan,US,2024-02-11T05:00:00.000Z
eqs4puOq9h,"44.4359817,-86.2138976",Arcadia Bluffs South Course,Bear Lake,Michigan,US,2024-02-11T05:00:00.000Z
XNpYWAwL7m,"34.1047625,-118.016349",Arcadia Golf Course,Arcadia,California,US,2024-02-11T05:00:00.000Z
2tFGYzFlNQ,"27.24532709,-81.8467264",Arcadia Municipal Golf Course,Arcadia,Florida,US,2024-02-11T05:00:00.000Z
LuenV6gIHj,"37.5908954,-90.6141144",Arcadia Valley Country Club,Ironton,Missouri,US,2024-02-11T05:00:00.000Z
l6IyKGSOFs,"33.7783982,-78.7756163",Arcadian Shores Golf Club,Myrtle Beach,South Carolina,US,2024-02-11T05:00:00.000Z
4ECLWoVKAA,"33.58309949,-98.6313677",Archer City Country Club,Archer City,Texas,US,2024-02-11T05:00:00.000Z
wgqHSTuxpk,"40.7085848,-75.1502922",Architects Golf Club,Phillipsburg,New Jersey,US,2024-02-11T05:00:00.000Z
r6t4dObPzS,"40.92960449,-74.0874999",Arcola Country Club,Paramus,New Jersey,US,2024-02-11T05:00:00.000Z
XnxWTbLnjk,"41.0234817,-73.8578972",Ardsley Country Club,Dobbs Ferry,New York,US,2024-02-11T05:00:00.000Z
9gQhbk5Dsn,"32.30906059,-80.9546302",Argent Lakes Golf Clubhouse,Okatie,South Carolina,US,2024-02-11T05:00:00.000Z
7KYK2Z4Kav,"39.0961182,-77.0489348",Argyle Country Club,Silver Spring,Maryland,US,2024-02-11T05:00:00.000Z
QYlItLvq5B,"33.5217056,-112.023056",Arizona Biltmore Golf Club,Phoenix,Arizona,US,2024-02-11T05:00:00.000Z
BsVSR9J2nj,"32.7532497,-111.662113",Arizona City Golf Club,Arizona City,Arizona,US,2024-02-11T05:00:00.000Z
